Temperature,HeatIndex,WindSpeed,CloudCover,RelativeHumidity,Maximum Temperature,Minimum Temperature,Wind Direction,AQI
28.2,39.2,11.4,70.4,83.57,33,26,246.14,0
27.7,39.2,9.2,70.4,87.08,33,25,216.68,0
26.8,36.5,8.9,73.1,88.05,31,24,202.8,0
28,36.5,8.3,68.4,83.37,31,25,166.88,0
29.1,39.2,10.3,58.7,77.59,33,26,236.43,0
29.2,38.1,10.3,60.6,77.08,33,27,272.15,0
27.3,39.3,10.3,66.8,85.93,34,24,188,0
26.4,38.1,8.1,62.1,87.86,33,23.1,168.05,1
27,39.2,10.3,83.4,86.53,32,25,196.5,0
27.3,36.8,10.8,73.5,84.03,32,24,295.4,0
27.2,39.2,14.4,53.7,85.76,32,25.1,267.88,0
28.1,39.2,11.4,73.2,81.94,33,25,280.28,0
28,37.9,11,82.8,81.9,32,26,259.16,0
25.8,34.3,13.9,81.3,92.98,28.9,24,187.54,0
27.5,40.4,9.2,61.8,85.8,32.9,24,171.27,0
28.5,39.2,11.4,66.4,80.78,33,25,245.45,0
27.4,37.7,13.9,76,86.91,31,24,253,0
26.6,37.9,12.8,79.3,87.43,32,24,230.37,0
26,34.5,8.1,76.3,91.15,29.1,24,296.63,0
27,37.7,9.2,66.9,88.76,31,25,200.35,0
27.4,37.4,9.2,71.5,87.87,30,25,228.29,0
26.4,35.9,7.7,75.6,92.64,29.8,25,167.23,0
27.2,37.7,8.1,84.4,88.34,31,25,194.74,0
27.6,39.2,7.3,64.1,86.13,33,25,254.57,0
28.3,39.2,11.4,52.7,82.77,33,25,174.59,0
28,40.6,10.3,61.8,87.4,33,25,212.42,0
26.9,39.1,12.8,73.1,90.75,31.9,24,177.89,0
27.2,37.9,15.8,68.5,87.3,32,24,267.47,0
27.1,36.2,13,70,87.66,30,24.9,248.33,0
27.6,37.7,19.7,59.2,84.72,32,25,237.71,0
26.9,36.2,14.8,71.8,86.5,30,25,261.25,0
27.3,37.9,18.3,80.7,87.25,32,24,243.69,0
27,39.2,12.8,71.7,89.06,32,25,265.38,0
27.7,40.6,10.3,64.8,85.86,33,25,203.77,0
26.7,35.5,8.1,82.6,89.28,31,24,199.29,0
26,36.2,10.3,82.8,95.84,30,25,192.61,0
27.9,37.9,18.3,62.4,84.31,32,25,96.52,0
28.7,40.6,13.2,47.9,79.13,34,25,122.16,0
27.5,39.2,11.4,53.5,82.34,33,24,191.87,0
26.4,39.2,10.3,61.8,88.31,32,24,138.53,0
25.9,36.5,15,84,89.56,31,24,127.16,0
26.8,36.8,21.9,67.3,87.38,31.9,24,132.36,0
27.2,37.7,8.1,66.7,85.98,32,24,284.94,0
26.6,37.9,9.2,70.7,88.5,32,24,281.53,0
27.2,35.1,10.3,77.8,84.98,30,25,210.45,0
26.4,33.6,10.3,90.8,86.83,29,24,261.65,0
25.2,29.6,12.8,91.3,89.55,27,24,332.04,0
25.9,32.7,9.2,83.8,92.54,28,24,225.3,0
28.2,38.1,8.1,59.5,81.58,33,25,206.21,0
28.4,37.9,9.7,61.9,81.8,32,25,138.72,0
28.5,40.6,10.3,55.6,80.56,33,24.4,148.7,1
28.7,37.3,8.5,58,73.19,34,25,260.12,0
28.6,37.3,11.4,40,74.43,34,25,217.53,0
28.9,37,11.4,48.9,72.21,33,25,102.67,0
29.2,37.7,9.2,40.8,73,34,25,118.31,0
29.4,36.7,9.2,39.9,71.41,35,25,141.22,0
29.2,38.1,8.1,51,77.93,34,26,162.71,0
29.1,37,9.2,46.4,72.43,35,25,206.32,0
28,38.1,5.8,62.4,81.8,33,26,249.91,0
29.2,38.1,10.8,52.2,75.64,33,26,170.94,0
28.9,38.1,10.3,46.5,76.92,33,26,120.68,0
27.3,37.7,8.1,67.2,86.87,31,24,188.44,1
27.2,37.9,6.9,78.8,90.24,32,24,128.16,0
28.5,39.2,10.3,61.6,82.44,32,26,132.54,1
29.2,39.2,10.3,43.2,77.52,33,26,130.39,0
29.1,39.2,9.2,58.3,74.99,34,26,119.05,0
29.1,38.3,8.9,48.6,72.96,34,25,136.89,0
29.3,38.3,9.2,51.3,70.04,34,25,140,0
29.4,38.3,9.2,41.5,73.64,34,26,199.24,0
29,38.1,6.7,38.8,74.08,33,26,224.58,0
29.5,38.3,9.7,41.8,66.64,34,25,81.85,0
27,37.7,9.2,54.2,83.94,31,23,214.67,0
26.6,35.6,17.2,67.8,86.05,31,24,131.94,0
26.1,34.1,9.2,73.6,88.87,30,24,266.77,0
27.7,35.8,10.8,60.4,79.67,32,24,77.45,0
27.8,36.8,8.1,49,79.31,32,25,116.16,0
27.7,35.7,17.2,50.3,79.81,32,24,112.14,0
27.5,34.9,8.1,54.4,82.28,32,24,151.47,0
26.4,34.5,6.9,64,91.07,30.8,25,279.13,0
27.3,35.5,5.8,82.7,84.11,31,25,260,0
27.1,36.8,15,58.9,82.45,32,24,207.63,0
27,33.3,5.8,87.3,80.53,30,24.1,288.67,0
25.6,30.6,5.8,90.7,88.12,27,24,303.13,0
25.2,,10.3,94.9,94.58,26,24,311.67,0
24.2,,10.3,96.7,99.45,25.9,23,312.33,0
25.6,32.7,9.2,80,94.4,28,24,141.86,0
27.3,36.6,10.3,54.5,86.14,31,25,117.43,0
27.3,35.2,10.3,64.7,85.12,30.1,25,87.75,0
27.4,34.8,9.2,54.3,70.84,32,23,78.21,0
26.2,32,11.4,68.9,77.24,29,24,106.63,0
26.7,33.3,9.2,58.7,81.07,30,24,162.11,0
27.7,35.5,6.9,78.1,82.01,31,24.9,157.21,0
26.9,34.1,15,71.2,89.52,30,25,121.25,0
28.4,36.5,10.3,45.4,77.31,34,24,165.56,0
28.4,37,6.9,47.7,76.36,33,25,176.3,0
28.1,37.9,9.2,52.9,79.25,32.8,24,268.86,0
27.5,36.7,9.2,49.6,83.82,31.9,25,254.44,0
27.9,36.1,9.2,41.3,76.53,33,25,219.3,0
27.3,35.3,8.1,41.2,73.09,33,24,145.45,0
25.8,31.3,9.2,56.9,63.07,30,23,198.91,0
26.1,31.9,10.3,79.1,66.5,30,23,235.75,0
26.8,33,9.2,68.4,66.55,31,23,191.48,0
27.4,34.5,8.1,67.4,73.93,31,24,252.06,0
28.4,36.1,21.2,39.6,67.16,33,23,52.73,0
28.2,35.7,13,35.2,69.77,33.8,24.1,79.78,0
27.8,35.2,12.1,38.3,70.7,32.8,24,142.6,0
28.5,34.9,14.8,42.4,71.11,32,25,137.3,0
28.2,35.8,17.3,49.1,70.96,33,25,123.1,0
27.9,36.2,20.5,48.8,74.78,31,25,125,0
29,35.3,22.3,33.6,61.61,33,26,106.96,0
28.3,34.6,16.6,32.7,66.67,33,24,105.17,0
27.7,34.6,12.4,37.5,73.47,31,24,127.68,0
28.1,35.8,13,51.3,72.84,32,24,151.68,0
28.2,37,13,46.8,75.51,33,24,284.83,0
29.1,37.3,11.2,43.3,74.95,34,25,273.86,1
27.7,35.5,16.6,55.6,85.27,32,25.9,165.62,0
25.4,30.6,11.2,64.8,97.3,27,25,199.31,1
27.2,35.8,20.5,51.6,79.54,32,24,152.95,0
27.7,34.1,29.4,32.4,72.25,32.8,24,79.5,0
28.3,34.1,18.4,26.8,63.88,34,24,118.22,0
28.5,34.1,14.8,46.2,70.34,32,24.9,187.59,0
27.8,34.5,12.4,46.6,75.64,32,25,171.33,0
27.2,37,16.6,51.7,74.62,33,24,154.88,0
27.3,33.5,12.4,33.4,68.63,32,24,209.47,0
27.8,35.1,13,34.1,62.56,34,22,149.24,0
27.2,33.7,13,45.5,65.81,31,24,156.78,0
27.1,35.1,19.3,53,81.35,32,24,217.27,0
27.8,36.1,13,60.8,72.81,33,24,97.06,1
26.4,32.3,16.6,19.4,58.75,32,22,160.74,0
25.7,31.8,11.2,7.9,64.97,31,21,268.13,0
26.9,32.9,11.2,47.9,73.69,32,23,212.06,0
27.3,32.5,14.8,37.3,72.05,31,23,215.94,1
27,32.4,13,33,72.34,32,23,265.32,1
27.6,34.9,16.6,52,75.98,32,24,203.12,1
26.1,36.5,27.7,59.1,87.76,31,23,238,0
25.9,32.7,7.6,57.6,85.74,29,24,286.69,0
28.3,35.3,13,47.4,73.34,33,25,206.31,1
27.7,35.8,25.9,55.1,81.17,32,25,255.18,0
27.3,34.1,15.7,56.3,77.5,32,24,229.78,1
27.2,33.4,13,59.9,71.71,33,24,184.63,1
27.5,34.9,16.6,35.6,74.87,32,24,231.47,0
28.3,35.1,18,43.1,69.73,34,25,169.31,1
27.3,34.6,16.7,29.5,71.61,33,24,158.6,1
27.2,32.6,14.8,30.7,59.18,33,22,103.33,1
26.5,31.7,14.8,17.8,53.93,33,22,97.42,1
26.6,32.5,16.6,11.1,54.63,33,21,128.17,1
27.4,33.6,20.5,32.6,58.41,34,22,103.24,1
26.9,32.9,16.6,39.5,59.22,32,23,72.41,0
27.2,32.2,14.8,29,53.2,33,22,117.33,0
27.2,32.5,14.8,43.8,63.67,32,23,152.68,0
27.7,35.7,19.6,36.9,67.7,34,22,144.24,0
26.5,34.1,25.8,47.9,79.28,32,23,209.74,0
27.4,33.3,13,38.1,73.62,30,24,159.33,0
28.4,38.1,18.4,33.2,73.06,33,25,145.76,0
28.7,38.2,18,34,73.42,34,25.9,131.86,0
28.4,38.1,20.6,42.7,70.29,33,25.9,137.48,0
28.6,36.2,18.4,40.3,67.99,33,25,109.67,0
28.4,36.1,16.6,45.4,71.88,33,24,148.24,0
26.8,35.5,14.8,46.9,83.31,31,25,199,0
28.1,35.7,16.6,40.3,74.22,33.8,24,140.35,1
